"title","vote_average","vote_count","budget","movie_id","genres_type","genres_id","original_language","popularity","release_date","revenue","runtime.mins.","ROI"
"300: Rise of an Empire",61,2397,110000000,53182,"Action",28,"en",71510596,"2014-03-05",337580051,102,206.890955454545
"Gone in Sixty Seconds",61,1485,90000000,9679,"Action",28,"en",52995628,"2000-06-09",237202299,118,163.55811
"The Other Guys",61,1383,100000000,27581,"Action",28,"en",24399642,"2010-08-06",170432927,107,70.432927
"The Expendables 2",61,2896,100000000,76163,"Action",28,"en",53732892,"2012-08-08",312573423,103,212.573423
"The Expendables 3",61,1795,90000000,138103,"Action",28,"en",61025639,"2014-08-04",206172544,127,129.080604444444
"K-19: The Widowmaker",61,264,100000000,8665,"Drama",18,"en",15625949,"2002-07-19",35168966,138,-64.831034
"Twister",61,950,92000000,664,"Action",28,"en",32079995,"1996-05-10",494471524,113,437.469047826087
"Open Season",61,656,85000000,7484,"Adventure",12,"en",2661951,"2006-09-29",197309027,83,132.128267058824
"Last Action Hero",61,712,85000000,9593,"Adventure",12,"en",32044191,"1993-06-18",137298489,130,61.5276341176471
"The Fast and the Furious: Tokyo Drift",61,1705,85000000,9615,"Action",28,"en",8282876,"2006-06-03",158468292,104,86.4332847058824
"Swordfish",61,932,102000000,9705,"Action",28,"en",36788745,"2001-06-07",147080413,99,44.1964833333333
"Mars Attacks!",61,1509,70000000,75,"Comedy",35,"en",44090535,"1996-12-12",101371017,106,44.8157385714286
"The Postman",61,299,80000000,9922,"Drama",18,"en",14564667,"1997-12-25",17626234,177,-77.9672075
"Soldier",61,221,75000000,9425,"Action",28,"en",11873856,"1998-10-23",14567883,99,-80.576156
"Underworld: Awakening",61,1862,70000000,52520,"Fantasy",14,"en",58401204,"2012-01-19",160112671,88,128.732387142857
"Killer Elite",61,695,66000000,49021,"Action",28,"en",29501489,"2011-09-23",57777106,116,-12.4589303030303
"Need for Speed",61,1520,66000000,136797,"Action",28,"en",5481489,"2014-03-13",203277636,130,207.996418181818
"What Women Want",61,992,70000000,3981,"Comedy",35,"en",3139165,"2000-12-15",374111707,127,434.445295714286
"Cliffhanger",61,588,70000000,9350,"Action",28,"en",2619909,"1993-05-28",255000211,112,264.286015714286
"Zathura: A Space Adventure",61,779,65000000,6795,"Family",10751,"en",15194239,"2005-11-06",64321501,101,-1.04384461538462
"Astro Boy",61,409,65000000,16577,"Animation",16,"en",24857079,"2009-10-15",44091067,94,-32.1675892307692
"U-571",61,340,62000000,3536,"Action",28,"en",18096884,"2000-04-20",127666415,116,105.913572580645
"Meet the Fockers",61,1373,80000000,693,"Comedy",35,"en",32829538,"2004-12-22",516642939,115,545.80367375
